#acc_value	delta_value	duration_ns	duration_samples
14099308362636	42005	40073808	10631
14099308404639	42003	40074872	10640
14099308446655	42016	40077702	10630
14099308488615	41960	40073411	10630
14099308530626	42011	40077434	10628
14099308572650	42024	40071832	10633
14099308614680	42030	40076794	10631
14099308656684	42004	40073632	10635
14099308698739	42055	40076786	10633
14099308740784	42045	40073926	10636
14099308782864	42080	40078597	10632
14099308824962	42098	40074638	10634
14099308867007	42045	40068315	10624
14099308909072	42065	40083081	10635
14099308951148	42076	40073312	10639
14099308993168	42020	40075130	10637
14099309035272	42104	40074702	10620
14099309077319	42047	40076669	10636
14099309119313	41994	40076210	10636
14099309161347	42034	40072140	10626
14099309203323	41976	40077891	10630
14099309245326	42003	40072517	10634
14099309287347	42021	40077093	10626
14099309329392	42045	40074938	10624
14099309371418	42026	40074921	10626
14099309413474	42056	40074925	10625
14099309455533	42059	40078034	10631
14099309497618	42085	40073950	10635
14099309539791	42173	40073868	10633
14099309581910	42119	40076701	10632
14099309624052	42142	40074760	10634
14099309666117	42065	40076995	10633
14099309708167	42050	40072868	10630
14099309750208	42041	40073658	10625
14099309792301	42093	40077692	10627
14099309834483	42182	40075880	10631
14099309876671	42188	40073368	10637
14099309918797	42126	40070070	10637
14099309960942	42145	40083395	10631
14099310003035	42093	40072895	10627
14099310045087	42052	40077468	10635
14099310087195	42108	40070765	10634
14099310129363	42168	40079925	10628
14099310171411	42048	40070622	10630
14099310213477	42066	40076985	10629
14099310255565	42088	40075197	10639
14099310297642	42077	40076770	10633
14099310339704	42062	40075778	10629
14099310381799	42095	40074048	10632
14099310423889	42090	40076157	10636
14099310465990	42101	40073304	10630
14099310508151	42161	40077144	10635
14099310550280	42129	40075374	10629
14099310592383	42103	40074130	10626
14099310634483	42100	40076385	10631
14099310676564	42081	40074167	10633
14099310718693	42129	40074923	10642
14099310760762	42069	40075908	10628
14099310802900	42138	40076768	10623
14099310845070	42170	40074234	10631
14099310887222	42152	40074551	10628
14099310929331	42109	40076054	10632
14099310971431	42100	40079780	10628
14099311013525	42094	40068466	10642
14099311055640	42115	40075507	10641
14099311097785	42145	40077073	10632
14099311139969	42184	40074579	10630
14099311182067	42098	40072857	10633
14099311224259	42192	40078458	10635
14099311266421	42162	40072060	10617
14099311308523	42102	40080043	10629
14099311350537	42014	40070675	10631
14099311392618	42081	40080447	10635
14099311434787	42169	40072215	10635
14099311477066	42279	40075204	10635
14099311519255	42189	40072914	10629
14099311561441	42186	40078746	10631
14099311603551	42110	40073769	10638
14099311645714	42163	40075212	10623
14099311687863	42149	40075683	10626
14099311730004	42141	40075907	10626
14099311772124	42120	40072825	10631
14099311814333	42209	40077265	10622
14099311856560	42227	40072667	10625
14099311898686	42126	40077235	10626
14099311940715	42029	40073300	10631
14099311982791	42076	40079148	10628
14099312024811	42020	40073809	10627
14099312066912	42101	40076349	10642
14099312108964	42052	40071938	10624
14099312151046	42082	40076624	10624
14099312193130	42084	40074648	10626
14099312235428	42298	40075940	10634
14099312277484	42056	40073009	10620
14099312319554	42070	40078175	10628
14099312361607	42053	40074175	10627
14099312403646	42039	40077998	10632
14099312445699	42053	40071072	10632
