#sensor_value	delta_value	duration_ns	duration_samples
535000000	5000000	80149491	18768
533000000	2000000	40074745	9390
537000000	4000000	40073299	9390
533000000	4000000	40078795	9382
530000000	3000000	120225877	28172
533000000	3000000	40072518	9390
530000000	3000000	40075974	9382
528000000	2000000	40074479	9392
526000000	2000000	40076981	9396
528000000	2000000	160298242	37543
526000000	2000000	80151232	18767
528000000	2000000	40076006	9389
530000000	2000000	40074876	9382
528000000	2000000	40075528	9384
524000000	4000000	40074049	9396
526000000	2000000	120228662	28169
528000000	2000000	40075651	9390
530000000	2000000	40075727	9393
535000000	5000000	80145648	18788
530000000	5000000	120227765	28166
533000000	3000000	40074870	9378
530000000	3000000	160301535	37539
528000000	2000000	80148806	18754
530000000	2000000	160302246	37560
528000000	2000000	40076366	9380
530000000	2000000	80148300	18773
528000000	2000000	40079186	9364
526000000	2000000	40075481	9377
524000000	2000000	40071649	9389
526000000	2000000	120226014	28156
528000000	2000000	40078453	9387
526000000	2000000	40074536	9385
528000000	2000000	40073516	9391
526000000	2000000	40076864	9399
524000000	2000000	80150341	18779
526000000	2000000	40073497	9391
528000000	2000000	80149970	18757
526000000	2000000	160301551	37561
524000000	2000000	40077311	9400
522000000	2000000	40072885	9389
524000000	2000000	80150374	18790
526000000	2000000	80151119	18772
528000000	2000000	80152768	18795
526000000	2000000	80148898	18802
528000000	2000000	40073358	9392
526000000	2000000	40079085	9386
524000000	2000000	40072270	9388
526000000	2000000	80152612	18795
528000000	2000000	40077993	9389
530000000	2000000	40071682	9384
528000000	2000000	80150318	18765
533000000	5000000	40073627	9380
530000000	3000000	40074946	9379
528000000	2000000	120225908	28163
526000000	2000000	40078012	9393
528000000	2000000	40073350	9400
526000000	2000000	40075878	9375
530000000	4000000	40076188	9381
533000000	3000000	40074151	9373
535000000	2000000	40074756	9381
528000000	7000000	40077007	9384
537000000	9000000	40073807	9376
528000000	9000000	40076424	9379
533000000	5000000	40074337	9389
526000000	7000000	40073584	9392
539000000	13000000	40075528	9375
528000000	11000000	40077880	9380
537000000	9000000	40072793	9385
526000000	11000000	40075264	9386
535000000	9000000	40075013	9391
528000000	7000000	40075567	9391
539000000	11000000	40074395	9388
530000000	9000000	40075331	9385
539000000	9000000	40077383	9393
530000000	9000000	40076381	9400
539000000	9000000	40074438	9341
528000000	11000000	40075743	9370
541000000	13000000	40075010	9393
528000000	13000000	40074595	9327
533000000	5000000	40075109	9339
532000000	1000000	80148990	18772
533000000	1000000	40075171	9377
535000000	2000000	40074491	9382
533000000	2000000	40076008	9375
532000000	1000000	40081514	9386
530000000	2000000	40069663	9388
535000000	5000000	40076770	9394
530000000	5000000	40076070	9381
532000000	2000000	40071997	9382
530000000	2000000	40076944	9386
535000000	5000000	40074007	9378
533000000	2000000	40078184	9391
535000000	2000000	40072231	9389
533000000	2000000	40077258	9379
532000000	1000000	40074634	9394
528000000	4000000	40074063	9380
530000000	2000000	40075049	9353
533000000	3000000	40075253	9399
535000000	2000000	40076449	9399
533000000	2000000	80150525	18792
535000000	2000000	80150189	18785
530000000	5000000	120224632	28185
533000000	3000000	40077389	9391
528000000	5000000	80148896	18781
530000000	2000000	40075403	9391
533000000	3000000	40076602	9396
526000000	7000000	40076077	9390
530000000	4000000	40070704	9396
528000000	2000000	80153368	18779
526000000	2000000	80148837	18768
524000000	2000000	80150940	18772
526000000	2000000	40078003	9378
528000000	2000000	80149798	18771
533000000	5000000	40074499	9379
528000000	5000000	240452983	56315
530000000	2000000	80147857	18771
528000000	2000000	40074604	9393
530000000	2000000	120228738	28167
528000000	2000000	80150630	18768
530000000	2000000	80148446	18774
526000000	4000000	40077443	9388
528000000	2000000	120224628	28167
526000000	2000000	40078311	9381
528000000	2000000	80147523	18774
530000000	2000000	40075588	9385
528000000	2000000	120224279	28141
532000000	4000000	40076720	9390
528000000	4000000	40075203	9384
526000000	2000000	40076140	9401
528000000	2000000	40074580	9399
533000000	5000000	80148334	18759
530000000	3000000	40075020	9376
528000000	2000000	80152655	18760
526000000	2000000	40075264	9382
528000000	2000000	40075987	9388
530000000	2000000	40075550	9389
528000000	2000000	120223089	28163
530000000	2000000	40075448	9394
528000000	2000000	80149609	18761
530000000	2000000	120226706	28142
526000000	4000000	40074600	9395
528000000	2000000	80150722	18770
532000000	4000000	40074470	9375
528000000	4000000	40075891	9386
530000000	2000000	80151815	18762
528000000	2000000	40074645	9390
526000000	2000000	40078157	9387
528000000	2000000	40071581	9395
533000000	5000000	40076864	9384
535000000	2000000	40074930	9383
530000000	5000000	80151859	18780
532000000	2000000	40074881	9396
535000000	3000000	40070876	9385
528000000	7000000	80155241	18791
530000000	2000000	40072446	9384
532000000	2000000	80153003	18778
530000000	2000000	80149438	18769
535000000	5000000	40076962	9384
532000000	3000000	40075649	9390
528000000	4000000	40073684	9395
530000000	2000000	80152445	18777
535000000	5000000	40071245	9392
532000000	3000000	40076086	9386
530000000	2000000	80152646	18743
533000000	3000000	40073408	9385
530000000	3000000	40077651	9396
528000000	2000000	40072067	9379
530000000	2000000	80151433	18775
528000000	2000000	120228213	28158
533000000	5000000	40074813	9384
532000000	1000000	120223681	28162
533000000	1000000	80151419	18783
530000000	3000000	40077087	9389
535000000	5000000	40074278	9387
532000000	3000000	40073307	9378
530000000	2000000	120226425	28146
528000000	2000000	40073706	9390
530000000	2000000	160304659	37575
528000000	2000000	80148721	18772
530000000	2000000	40077044	9397
528000000	2000000	40071160	9394
526000000	2000000	80152137	18777
528000000	2000000	40076334	9390
526000000	2000000	120223793	28161
528000000	2000000	40077963	9386
526000000	2000000	80150952	18774
524000000	2000000	40072739	9384
526000000	2000000	40076427	9392
528000000	2000000	40074811	9383
526000000	2000000	40075819	9396
524000000	2000000	40076359	9383
526000000	2000000	40076556	9399
528000000	2000000	160299020	37540
530000000	2000000	120222908	28168
528000000	2000000	40075590	9390
530000000	2000000	120228408	28165
528000000	2000000	40072401	9390
530000000	2000000	40075286	9392
528000000	2000000	120227171	28165
530000000	2000000	40075028	9385
528000000	2000000	40075452	9379
530000000	2000000	40074020	9385
528000000	2000000	80151657	18781
526000000	2000000	40074524	9377
528000000	2000000	40075407	9386
526000000	2000000	40074616	9381
528000000	2000000	40076387	9385
530000000	2000000	40074347	9386
526000000	4000000	40074307	9393
530000000	4000000	40077522	9382
528000000	2000000	40074112	9382
526000000	2000000	40075754	9389
524000000	2000000	40073723	9395
528000000	4000000	80151216	18785
526000000	2000000	80150246	18776
528000000	2000000	80152370	18764
530000000	2000000	40076274	9380
526000000	4000000	40074043	9388
530000000	4000000	80149609	18764
533000000	3000000	40076073	9376
528000000	5000000	40075026	9382
530000000	2000000	120226812	28159
528000000	2000000	40073075	9382
526000000	2000000	80152348	18772
528000000	2000000	40075778	9382
532000000	4000000	40072276	9382
530000000	2000000	40078311	9388
533000000	3000000	40073382	9385
530000000	3000000	80150827	18778
526000000	4000000	80151045	18763
528000000	2000000	40078390	9393
530000000	2000000	40072845	9380
528000000	2000000	40074250	9390
530000000	2000000	80150203	18761
528000000	2000000	120228189	28092
526000000	2000000	40073356	9385
528000000	2000000	40073397	9390
526000000	2000000	160300694	37576
530000000	4000000	80152751	18764
528000000	2000000	40073139	9382
526000000	2000000	80152134	18776
528000000	2000000	40074303	9387
524000000	4000000	40074505	9368
533000000	9000000	40078670	9373
526000000	7000000	80147252	18755
530000000	4000000	40076185	9350
528000000	2000000	80150328	18757
530000000	2000000	120226480	27927
528000000	2000000	40074739	9354
530000000	2000000	40072073	9388
532000000	2000000	40078692	9368
533000000	1000000	40077572	9284
532000000	1000000	40075136	9289
530000000	2000000	40073662	9282
532000000	2000000	40076120	9352
537000000	5000000	40074095	9383
530000000	7000000	80150747	18766
533000000	3000000	40075301	9371
532000000	1000000	40072700	9336
533000000	1000000	240453289	56358
532000000	1000000	40074340	9397
535000000	3000000	40077432	9393
530000000	5000000	80149589	18787
528000000	2000000	40076094	9397
530000000	2000000	40075448	9387
528000000	2000000	40075405	9391
526000000	2000000	40073834	9394
528000000	2000000	40076540	9386
526000000	2000000	40073054	9390
528000000	2000000	40077197	9388
526000000	2000000	40072593	9384
528000000	2000000	40074660	9395
526000000	2000000	40078698	9392
528000000	2000000	40076106	9393
526000000	2000000	80149525	18783
528000000	2000000	160299813	37562
526000000	2000000	320603332	75119
530000000	4000000	80147832	18787
528000000	2000000	80150450	18780
530000000	2000000	40077043	9392
528000000	2000000	200376630	46906
526000000	2000000	80149843	18791
528000000	2000000	40073462	9390
530000000	2000000	40078637	9384
528000000	2000000	80149263	18752
530000000	2000000	40073237	9393
533000000	3000000	40078371	9395
528000000	5000000	80150179	18780
530000000	2000000	40075452	9380
535000000	5000000	40075838	9380
530000000	5000000	40072473	9390
528000000	2000000	40075579	9380
530000000	2000000	80150154	18775
533000000	3000000	40074385	9386
530000000	3000000	40075473	9380
532000000	2000000	80153216	18779
528000000	4000000	120225057	28156
530000000	2000000	160300539	37520
528000000	2000000	40075452	9382
524000000	4000000	80147948	18759
526000000	2000000	120226266	28152
528000000	2000000	40075779	9268
543000000	15000000	40077757	9345
546000000	3000000	40067372	9379
548000000	2000000	40073955	9374
550000000	2000000	40077351	9384
546000000	4000000	40077469	9382
548000000	2000000	40077215	9385
546000000	2000000	40068200	9362
550000000	4000000	40077977	9365
552000000	2000000	40074991	9379
563000000	11000000	80150321	18773
570000000	7000000	120224078	28134
563000000	7000000	40075632	9383
570000000	7000000	40075561	9076
572000000	2000000	40076356	7865
565000000	7000000	40074975	7869
568000000	3000000	40076598	7868
563000000	5000000	40076067	7868
565000000	2000000	40071944	7868
563000000	2000000	80154398	15739
561000000	2000000	40073223	7869
563000000	2000000	40073188	7867
561000000	2000000	40078192	7865
563000000	2000000	40072211	7869
561000000	2000000	120229330	23707
563000000	2000000	160301676	31648
566000000	3000000	40079020	7914
563000000	3000000	80147210	15820
565000000	2000000	40071321	7913
563000000	2000000	80153211	15825
568000000	5000000	80147973	15826
570000000	2000000	80151996	15816
568000000	2000000	40075428	7914
570000000	2000000	120225453	23734
563000000	7000000	40073147	7913
565000000	2000000	80153497	15827
563000000	2000000	40074762	7908
568000000	5000000	80149241	15828
565000000	3000000	80148846	15821
563000000	2000000	160305176	31600
561000000	2000000	40075159	7899
565000000	4000000	80150006	15800
561000000	4000000	40072884	7903
563000000	2000000	120227288	23718
565000000	2000000	80151455	15802
566000000	1000000	40072147	7899
568000000	2000000	40078313	7906
563000000	5000000	80155280	16786
