#sensor_value	delta_value	duration_ns	duration_samples
528	4	40071240	3713
530	2	80144662	7425
528	2	120226825	11140
526	2	40078840	3715
528	2	80145546	7418
530	2	80153130	7426
535	5	40076792	3712
533	2	40072662	3711
530	3	80146754	7430
535	5	40080092	3712
533	2	40076896	3714
530	3	40080257	3714
532	2	40071561	3713
530	2	40070208	3711
528	2	120231322	11139
530	2	40070637	3712
533	3	80158826	7425
528	5	120222068	11139
526	2	40076581	3712
521	5	40068636	3714
526	5	160299533	14856
528	2	120226230	11140
526	2	40076676	3713
528	2	40077818	3711
526	2	40068273	3711
532	6	40083918	3715
528	4	40075571	3715
530	2	40068906	3714
528	2	160301136	14853
526	2	80159613	7431
528	2	40070052	3713
530	2	80150094	7431
528	2	40074782	3712
530	2	40079365	3714
532	2	40071877	3715
528	4	40069273	3710
526	2	40085118	3715
524	2	40066681	3715
526	2	80148242	7428
528	2	40080880	3713
526	2	80150043	7425
528	2	40078239	3715
526	2	40073827	3715
522	4	40079206	3713
524	2	40077343	3711
526	2	80149124	7421
528	2	40067385	3713
526	2	40083183	3714
528	2	160295521	14847
530	2	40074441	3715
533	3	40076645	3711
528	5	40075113	3714
526	2	40074387	3712
530	4	40077847	3712
528	2	80151992	7424
526	2	40074507	3714
533	7	40071343	3713
535	2	40075700	3712
533	2	40070657	3710
530	3	40078548	3712
533	3	40080907	3712
530	3	40075327	3714
526	4	80153637	7427
528	2	120213550	11138
526	2	80158375	7428
528	2	40071948	3713
526	2	80154998	7426
528	2	120215318	11133
526	2	80157041	7425
528	2	40081038	3716
526	2	40065304	3710
528	2	40085856	3715
526	2	40067995	3713
524	2	80147661	7427
526	2	80154568	7424
528	2	40074372	3713
526	2	80156978	7426
528	2	80148811	7426
526	2	80147994	7424
528	2	40077050	3714
530	2	40071962	3710
528	2	40073216	3714
526	2	80147113	7421
528	2	40081001	3714
526	2	40074368	3713
524	2	40072925	3712
526	2	40077436	3713
530	4	80149778	7427
532	2	40076296	3716
530	2	120222895	11144
526	4	80149909	7428
528	2	40081409	3715
530	2	40074352	3716
528	2	80152426	7424
530	2	80144844	7428
526	4	80149283	7422
530	4	40084634	3713
532	2	40066095	3712
530	2	40076858	3715
528	2	120226782	11140
526	2	40073306	3712
524	2	40079909	3713
526	2	40070833	3712
528	2	80158658	7434
530	2	80146346	7429
528	2	40074241	3713
526	2	40080029	3712
524	2	120215870	11139
526	2	80148350	7429
528	2	80156085	7427
526	2	40081988	3714
528	2	80142720	7435
524	4	40071307	3713
526	2	40087271	3716
528	2	120224367	11140
526	2	40072323	3714
528	2	40075720	3714
530	2	120227050	11138
528	2	40067813	3713
530	2	80155455	7428
528	2	80145221	7428
530	2	80155439	7425
528	2	80142682	7423
530	2	200382216	18575
528	2	40080009	3716
530	2	40081096	3714
528	2	40063539	3712
530	2	40078637	3714
528	2	120220048	11141
535	7	80156750	7426
532	3	40070837	3715
535	3	40080788	3716
533	2	120225261	11146
532	1	40070548	3713
530	2	40086813	3711
533	3	80144225	7428
535	2	40075120	3711
537	2	40075146	3712
535	2	40071635	3711
530	5	40079853	3716
532	2	40066751	3710
533	1	40082310	3717
528	5	40073209	3719
533	5	40080683	3713
535	2	80147875	7425
537	2	40074229	3714
535	2	240444116	22280
537	2	80158721	7423
535	2	80146212	7427
537	2	40076941	3714
535	2	40075032	3714
537	2	40075329	3718
533	4	80146916	7439
530	3	160311119	14855
533	3	80150309	7424
537	4	40069505	3716
535	2	40071372	3712
533	2	40077355	3711
535	2	40081290	3714
533	2	40065247	3712
528	5	80154664	7431
530	2	40081473	3718
532	2	80144770	7427
530	2	40072660	3712
533	3	40079469	3714
532	1	40068546	3712
530	2	80152273	7427
532	2	40077417	3716
533	1	40079634	3714
535	2	40075558	3715
532	3	40075127	3712
533	1	160300360	14845
532	1	40074714	3711
533	1	80146273	7424
532	1	40076119	3715
533	1	200384362	18562
532	1	40071266	3709
535	3	40077165	3712
532	3	40069769	3710
530	2	120227136	11138
532	2	40074692	3714
530	2	40074120	3711
533	3	40078586	3714
535	2	80145132	7426
532	3	40082294	3712
533	1	80150203	7424
535	2	40069796	3713
532	3	40074691	3713
535	3	40080130	3713
537	2	40070917	3712
539	2	40078364	3712
537	2	200373604	18560
530	7	120220964	11133
533	3	80155653	7431
530	3	40083374	3715
532	2	40069663	3714
530	2	40076567	3715
526	4	120223343	11139
528	2	120227720	11141
532	4	80146976	7422
528	4	40070312	3712
526	2	40083028	3712
528	2	40077317	3712
530	2	40077874	3706
528	2	80148086	7417
530	2	40074070	3710
528	2	200379768	18560
530	2	40069119	3713
528	2	80144519	7417
526	2	160304157	14857
528	2	120232028	11138
530	2	200369792	18568
528	2	40083663	3718
526	2	40072186	3716
524	2	40077121	3713
526	2	40068200	3712
528	2	40079501	3715
530	2	40071028	3710
528	2	40078599	3711
530	2	80152949	7423
528	2	40072731	3712
525	3	40078253	3715
528	3	80144969	7427
526	2	80159434	7432
528	2	40071311	3716
526	2	80146292	7426
522	4	40074981	3715
535	13	40078159	3712
526	9	80148885	7427
528	2	80147479	7427
526	2	40084953	3714
528	2	40064912	3710
524	4	40082399	3713
528	4	40073269	3714
530	2	40071770	3714
528	2	40075128	3716
526	2	240458002	22283
528	2	40070640	3713
530	2	40073851	3713
528	2	40082867	3717
530	2	40071238	3710
528	2	80152814	7425
526	2	80144635	7425
528	2	80152354	7427
526	2	120222934	11145
524	2	40077819	3718
