#acc_value	delta_value	duration_ns	duration_samples
14099089334155	43465	40075987	3714
14099089377601	43446	40073967	3715
14099089421041	43440	40073678	3711
14099089464450	43409	40076107	3710
14099089507895	43445	40080990	3711
14099089551234	43339	40064927	3712
14099089594624	43390	40079365	3714
14099089637987	43363	40071349	3713
14099089681411	43424	40080110	3711
14099089724825	43414	40077172	3714
14099089768308	43483	40071262	3713
14099089811781	43473	40076940	3716
14099089855668	43887	40076325	3713
14099089899570	43902	40070501	3711
14099089943462	43892	40070799	3714
14099089987382	43920	40079182	3713
14099090031337	43955	40077893	3713
14099090075164	43827	40074270	3713
14099090118953	43789	40077513	3712
14099090162631	43678	40075584	3713
14099090206033	43402	40079395	3713
14099090249218	43185	40073011	3713
14099090292355	43137	40074945	3711
14099090335453	43098	40069699	3711
14099090378561	43108	40075690	3712
14099090421616	43055	40076145	3712
14099090464514	42898	40078504	3711
14099090507336	42822	40075159	3712
14099090550173	42837	40074407	3710
14099090593032	42859	40068629	3716
14099090635871	42839	40079954	3715
14099090678713	42842	40074801	3718
14099090721569	42856	40079637	3713
14099090764424	42855	40065853	3711
14099090807211	42787	40080518	3716
14099090850082	42871	40070506	3713
14099090892969	42887	40078659	3712
14099090935820	42851	40079746	3715
14099090978670	42850	40079872	3713
14099091021532	42862	40056683	3710
14099091064346	42814	40085346	3713
14099091107157	42811	40080797	3711
14099091150002	42845	40071821	3714
14099091192801	42799	40068811	3710
14099091235627	42826	40087711	3716
14099091278496	42869	40068872	3714
14099091321370	42874	40073802	3712
14099091364321	42951	40074725	3711
14099091407179	42858	40079438	3714
14099091450049	42870	40069282	3711
14099091492917	42868	40077100	3716
14099091535803	42886	40078924	3715
14099091578861	43058	40072505	3713
14099091621792	42931	40079274	3718
14099091664709	42917	40075488	3720
14099091707694	42985	40067367	3714
14099091750618	42924	40080123	3718
14099091793461	42843	40074483	3716
14099091836310	42849	40078248	3713
14099091879218	42908	40076318	3710
14099091922112	42894	40074978	3714
14099091965013	42901	40067876	3713
14099092007888	42875	40080272	3715
14099092050766	42878	40074423	3716
14099092093647	42881	40080770	3713
14099092136635	42988	40068950	3713
14099092179466	42831	40081947	3714
14099092222253	42787	40068358	3712
14099092265053	42800	40075247	3714
14099092307866	42813	40071708	3711
14099092350622	42756	40078567	3711
14099092393474	42852	40074172	3714
14099092436290	42816	40079590	3714
14099092479129	42839	40071044	3718
14099092521897	42768	40083129	3723
14099092564723	42826	40068962	3716
14099092607533	42810	40081625	3715
14099092650333	42800	40067374	3712
14099092693196	42863	40084260	3717
14099092736004	42808	40068835	3711
14099092778839	42835	40079096	3712
14099092821670	42831	40067261	3711
14099092864470	42800	40077549	3714
14099092907276	42806	40080120	3711
14099092950093	42817	40074014	3712
14099092992940	42847	40075454	3714
14099093035792	42852	40077086	3715
14099093078565	42773	40073940	3715
14099093121371	42806	40069263	3713
14099093164193	42822	40073631	3714
14099093206920	42727	40077293	3715
14099093249693	42773	40074448	3712
14099093292457	42764	40084844	3715
14099093335324	42867	40062277	3710
14099093378154	42830	40078700	3715
14099093421003	42849	40074443	3715
14099093463814	42811	40076671	3713
14099093506651	42837	40074795	3709
14099093549521	42870	40083292	3715
14099093592357	42836	40070957	3710
14099093635194	42837	40074216	3711
14099093678035	42841	40074096	3712
14099093720874	42839	40076985	3714
14099093763658	42784	40074276	3712
14099093806502	42844	40067329	3712
14099093849300	42798	40082536	3715
14099093891569	42269	40081310	3715
14099093933847	42278	40066296	3713
14099093976122	42275	40084707	3714
14099094018407	42285	40071241	3713
14099094060695	42288	40072751	3712
14099094103028	42333	40079338	3715
14099094145354	42326	40073167	3711
14099094187714	42360	40067969	3711
14099094230151	42437	40083850	3714
14099094272564	42413	40066810	3715
14099094314876	42312	40080406	3717
14099094357235	42359	40075809	3713
14099094399546	42311	40079857	3718
14099094441844	42298	40074426	3719
14099094484109	42265	40073233	3714
14099094526433	42324	40069661	3709
14099094568698	42265	40078854	3713
14099094611036	42338	40070407	3714
14099094653268	42232	40077510	3713
14099094695586	42318	40080828	3713
14099094737864	42278	40075306	3712
14099094780174	42310	40069059	3710
14099094822451	42277	40077104	3713
14099094864801	42350	40071684	3715
14099094907044	42243	40086389	3715
14099094949366	42322	40067159	3713
14099094991597	42231	40080696	3710
14099095033844	42247	40076174	3711
14099095076043	42199	40078858	3711
14099095118326	42283	40070583	3711
14099095160550	42224	40079248	3718
14099095202819	42269	40067161	3713
14099095245058	42239	40082091	3722
14099095287344	42286	40070647	3713
14099095329544	42200	40078532	3716
14099095372399	42855	40056795	3713
14099095414715	42316	40094391	3716
14099095457102	42387	40064091	3710
14099095499443	42341	40083977	3710
14099095541794	42351	40072934	3711
14099095584120	42326	40071958	3712
14099095626440	42320	40073977	3711
14099095668689	42249	40082787	3714
14099095710920	42231	40068999	3711
14099095753125	42205	40078821	3714
14099095795377	42252	40068151	3713
14099095837585	42208	40079690	3713
14099095879829	42244	40080586	3716
14099095922023	42194	40080042	3711
14099095964262	42239	40064680	3710
14099096006541	42279	40079010	3714
14099096048815	42274	40070224	3714
14099096091176	42361	40082200	3713
14099096133606	42430	40072690	3716
14099096175954	42348	40080363	3716
14099096218366	42412	40066056	3712
14099096260731	42365	40081311	3712
14099096303086	42355	40073125	3712
14099096345380	42294	40078479	3714
14099096387716	42336	40070767	3711
14099096430101	42385	40072996	3714
14099096472473	42372	40074179	3712
14099096514793	42320	40081125	3710
14099096557137	42344	40067421	3709
14099096599487	42350	40080109	3712
14099096641843	42356	40077878	3713
14099096684157	42314	40073852	3712
14099096726466	42309	40069062	3715
14099096768853	42387	40082779	3715
14099096811214	42361	40069317	3714
14099096853513	42299	40083621	3712
14099096895830	42317	40064961	3709
14099096938160	42330	40083672	3714
14099096980605	42445	40074637	3714
14099097022978	42373	40079192	3715
14099097065307	42329	40067209	3709
14099097107632	42325	40080464	3713
14099097149905	42273	40070923	3711
14099097192194	42289	40073711	3711
14099097234548	42354	40073174	3712
14099097276823	42275	40079300	3717
14099097319187	42364	40080018	3716
