#sensor_value	delta_value	duration_ns	duration_samples
528	2	40078711	10630
526	2	40073515	10628
528	2	80151262	21258
526	2	160297447	42522
528	2	200378208	53137
526	2	40075509	10639
524	2	40081458	10631
526	2	280519494	74411
524	2	40076211	10634
521	3	40075949	10634
524	3	40074690	10626
521	3	40075110	10643
526	5	40075968	10627
528	2	40073247	10620
526	2	40077126	10631
528	2	40075569	10622
530	2	80148452	21252
528	2	40077518	10628
526	2	80151996	21263
528	2	40071658	10629
530	2	80150460	21270
528	2	40078574	10633
530	2	80150283	21258
528	2	40073618	10625
526	2	40074255	10635
528	2	120226616	31883
530	2	40074537	10632
533	3	40076253	10629
535	2	80148693	21261
533	2	40080081	10638
530	3	40070360	10630
533	3	40078618	10636
530	3	40071423	10631
528	2	80151719	21256
530	2	40077228	10629
528	2	40073797	10622
535	7	40084669	10635
537	2	40066185	10627
539	2	40078528	10624
537	2	40075634	10634
541	4	40071269	10631
550	9	40075548	10637
548	2	40077518	10627
546	2	40070734	10630
548	2	40077721	10636
535	13	160301746	42542
528	7	200373519	53150
530	2	80153225	21266
526	4	200375456	53151
528	2	80152668	21256
526	2	200373794	53139
525	1	40077483	10618
524	1	40071521	10630
526	2	120227811	31901
524	2	40072843	10628
528	4	40076874	10633
526	2	40074251	10625
524	2	40077302	10623
521	3	40074139	10636
526	5	40074968	10625
528	2	80153375	21264
530	2	40073284	10634
528	2	40074320	10632
530	2	80152828	21257
528	2	40071831	10614
526	2	40076982	10645
528	2	160302814	42520
526	2	80148822	21254
525	1	40075687	10633
526	1	40075317	10616
524	2	40074505	10627
528	4	40077181	10637
526	2	40072815	10629
524	2	120228124	31878
526	2	40072546	10629
524	2	40076351	10632
526	2	80151800	21260
528	2	40074738	10634
530	2	40076276	10638
528	2	40072907	10633
526	2	40075679	10622
524	2	200375298	53146
526	2	40075702	10624
528	2	80151614	21268
526	2	40075918	10627
524	2	40073912	10631
526	2	120224608	31878
528	2	40082643	10629
530	2	40071195	10626
528	2	80143221	21247
526	2	40079735	10632
524	2	40073995	10626
526	2	120227974	31895
530	4	40073077	10629
533	3	40078927	10633
528	5	40072427	10631
526	2	40077317	10636
530	4	40072290	10607
526	4	160301592	42528
528	2	200380268	53146
530	2	40072685	10625
526	4	120225206	31892
528	2	80154127	21272
526	2	40069743	10628
528	2	40078837	10633
530	2	80149053	21264
526	4	40076622	10625
528	2	40073239	10633
526	2	40075955	10632
528	2	80151622	21256
530	2	200377289	53142
528	2	40073256	10624
532	4	40077484	10632
528	4	40073151	10628
537	9	40075897	10630
528	9	40072680	10629
539	11	40078236	10637
528	11	40074429	10633
535	7	40081386	10626
528	7	40067663	10617
530	2	40076476	10625
526	4	40074956	10624
535	9	40076354	10628
530	5	40073814	10622
535	5	40075026	10627
530	5	40076845	10628
537	7	40073626	10625
530	7	40076884	10631
533	3	40073885	10631
528	5	40073224	10619
535	7	40079511	10629
526	9	40073009	10620
532	6	40077608	10629
526	6	40077294	10623
535	9	40071235	10624
528	7	40074820	10628
535	7	40077444	10629
528	7	40071960	10629
541	13	40076683	10634
530	11	40073737	10635
532	2	40077708	10628
533	1	40073238	10622
532	1	40076395	10620
528	4	200374624	53142
532	4	40075986	10632
530	2	80150285	21258
528	2	40075389	10624
526	2	240452782	63769
530	4	40076389	10633
528	2	40072818	10625
526	2	80152297	21253
528	2	40079213	10632
524	4	40071413	10633
521	3	40074300	10638
524	3	40075716	10632
526	2	120227347	31911
528	2	40072155	10632
526	2	80149848	21251
524	2	40077475	10637
526	2	80148547	21255
528	2	80147379	21249
526	2	40078759	10626
524	2	40084089	10627
526	2	40065308	10624
524	2	80150906	21242
526	2	40079364	10616
528	2	120223784	31888
530	2	40074372	10627
528	2	80150243	21270
524	4	280527870	74400
526	2	40074608	10624
524	2	40075742	10617
526	2	40074280	10621
524	2	80150029	21261
526	2	40077077	10639
528	2	40075927	10633
526	2	40071814	10563
530	4	40077381	10554
526	4	160300666	42485
528	2	40073787	10627
533	5	40078487	10625
535	2	40071581	10624
530	5	80152183	21269
528	2	40077837	10626
546	18	40073823	10625
537	9	40076697	10630
533	4	40074387	10629
535	2	40073789	10637
530	5	40075883	10625
533	3	40076128	10632
535	2	120221978	31882
530	5	40078198	10637
528	2	40074691	10631
533	5	40077641	10629
530	3	40071486	10622
528	2	40077782	10628
530	2	80151121	21261
535	5	80150162	21234
530	5	40073786	10629
532	2	40076513	10626
533	1	40074068	10629
530	3	80149626	21275
532	2	120229011	31901
530	2	320601492	85048
528	2	200373142	53133
530	2	80149842	21257
528	2	40076839	10635
530	2	80150490	21266
532	2	40076282	10634
530	2	40075085	10632
535	5	40075831	10623
530	5	120224742	31903
532	2	40074373	10631
530	2	40077123	10632
533	3	40075483	10635
532	1	40075847	10628
533	1	40071022	10628
